"date","avg.temp","max.temp","min.temp","precipitation","avg.wind.speed","max.wind.speed","max.wind.speed.dir","max.inst.wind.speed","max.inst.wind.speed.dir","min.atmos.pressure"
"229b70a3",2.6,9.3,-3.3,0,2.8,6.3,"NW",11.4,"NW",NA
"3134f4ff",5.1,14.6,-4.6,0,2.3,5.8,"SW",10.4,"S",NA
"dbfaf910",12.3,19,5.2,0,2.7,7.9,"NW",13.6,"NW",NA
"3aea0cf0",11,20.1,6.5,0,3.2,7,"SW",17,"SW",NA
"f0227f56",2.1,5.9,0.2,42.5,1.2,3.3,"NE",5.3,"N",NA
"d486a259",4.5,9.7,1.4,0,1.9,6.3,"NE",9.9,"NE",NA
"7cdfeda7",9.5,14.5,5.7,10.5,3.8,7.3,"SW",12.6,"S",NA
"38de5d00",9.3,14.3,2.3,11.5,2.7,6.3,"NW",12,"NW",NA
"8c2d8dcc",14.1,23.8,5.7,0,2.1,6,"S",11.4,"S",NA
"7197e71e",14.1,21.6,7.9,0,2.2,5.6,"N",10.1,"N",NA
"593eb286",12.9,22.8,4.5,0,3.5,7.7,"S",13.3,"SW",NA
"29b6c876",13.4,19.8,4.4,0,1.3,4.2,"S",7.9,"S",NA
"7d9a6f89",17.3,25.5,11.5,0,2.5,8,"NE",11.8,"NE",NA
"d5c32077",14.8,17.7,12.9,6.5,1.5,4.1,"SE",7.7,"SE",NA
"6aee08b4",18.5,24.8,14.3,1,2.3,6.6,"SW",10.9,"SW",NA
"bee1e69c",16.1,23,12.7,3,2.8,6.6,"S",13.2,"S",NA
"ff929090",8.1,13.1,1.5,3.5,4.6,9.2,"NE",13.7,"NE",NA
"5ff1137c",8.9,18.5,-0.4,0,2.9,6,"SW",11.1,"S",NA
"67bb94af",11.2,15.1,6,0,2.6,5.4,"S",11.1,"S",NA
"93abdff0",12.6,16.8,7.9,18.5,1.4,4,"SW",7.9,"SW",NA
"b70f02ff",14.1,20.2,7.8,0,2,5.5,"NW",11.7,"W",NA
"2bdb4125",15.2,23.6,6.1,0,2,7.5,"SW",13,"SW",NA
"fc2c3636",15.5,24.5,6.4,0,2.5,6.2,"SW",11.9,"SW",NA
"5d803709",13.9,21.7,9.2,6,2.4,7.4,"SW",12.6,"SW",NA
"1bd0da7f",13.6,20.4,6.3,0,2.5,6,"SW",10.9,"SW",NA
"2bf8f976",13.4,18.8,10.6,2,1.6,5,"S",10.5,"S",NA
"4aebb70a",16.2,24.8,10.1,7,1.7,5.5,"SW",10.3,"S",NA
"39b80db2",17.7,24.7,12.7,0,2.4,4.8,"S",10,"SW",NA
"295d55b9",17.9,26.1,11.6,0,2.4,6.6,"S",12.5,"S",NA
"d9f6669e",17.6,25.4,12.3,0,2.4,5.1,"S",10.2,"S",NA
"197576b0",18.9,27.8,10,0,1.9,4.8,"NE",9.6,"W",NA
"ce8201a3",20.8,31.7,10.1,0,2,5,"S",9.1,"S",NA
"8da77a9a",23.1,31.7,14.2,0,3,7.4,"S",13.2,"SE",NA
"68de3347",17.5,23.2,11.4,5,2.9,7,"NW",11.6,"NW",NA
"07aac6ee",15.9,21.4,12.9,0,1.6,5.2,"SW",8.6,"SW",NA
"76ed3ecd",18.6,26.1,11.7,0,2.4,5.5,"S",10.5,"S",NA
"230e1be1",17.3,22.1,13.2,0,1.5,3.6,"S",7.5,"S",NA
"6261c0cb",21.2,29.9,14.5,0,1.9,6.4,"SW",11.9,"SW",NA
"143ab6e7",22.6,31.1,13.2,0,1.9,5.2,"NE",7.7,"N",NA
"54864238",16.8,19.8,15.2,32,1.1,4.4,"SE",7.3,"S",NA
"c6c50d60",19.7,24.4,16,0.5,3.2,7.5,"NE",12.1,"NE",NA
"526a5b91",17.2,23,14.6,1,2.3,4.8,"NE",7.4,"NE",NA
"af91095a",16,22.2,13.4,22.5,3,6.3,"N",10,"NE",NA
"df1973aa",16.8,24.5,11.1,12,1.8,6,"SW",11,"SW",NA
"b8da9a32",16,23.5,12.6,5,1.4,5.4,"NE",8.2,"N",NA
"2fea2845",18.8,26.8,12,0,2.4,6.3,"SW",10.3,"SW",NA
"bff9e068",19.7,26.7,14.5,0,2.4,6.8,"SW",10.8,"SW",NA
"328e0e20",16.5,19.9,13.6,11,3.5,8,"SW",16.1,"SW",NA
"b592908b",18.1,26.4,11.1,0,2.4,6,"NE",13.4,"SW",NA
"ca8eed0a",18.8,26.2,11.2,0,2.3,6.3,"SE",10.9,"S",NA
"f094edac",19.4,28.1,11.6,6,1.6,4.9,"NW",8.3,"NW",NA
"ed94fc6c",20.5,28,14.3,0,1.9,5.2,"S",9.5,"S",NA
"8d746fae",17.6,24.5,13.9,6,1.5,4.9,"NE",9.3,"NW",NA
"aecc3cae",20.2,28.6,13.3,0,2.5,6,"S",11.5,"S",NA
"7ac3d286",22,29.1,15.4,0,2.6,5.4,"S",11,"S",NA
"085feaed",21.2,24.1,19.2,6,3.5,7.6,"SW",14.4,"SW",NA
"443e5417",22.3,26.5,18.7,0,2.2,6.1,"SW",10.6,"SW",NA
"d67d1b4f",21.8,27.5,18.2,0,1.3,3.8,"SW",6.5,"S",NA
