"date","avg.temp","max.temp","min.temp","precipitation","avg.wind.speed","max.wind.speed","max.wind.speed.dir","max.inst.wind.speed","max.inst.wind.speed.dir","min.atmos.pressure"
"229b70a3",1.4,9,-4.3,0,1,2.9,"SW",8.2,"N",NA
"3134f4ff",4,13.1,-3.2,0,1.4,4.2,"SW",9.3,"SW",NA
"dbfaf910",10.7,18.9,4.7,0,1.3,3.3,"SW",8.3,"SW",NA
"3aea0cf0",9,17.6,1.3,0.5,1.4,3,"SW",9.4,"E",NA
"f0227f56",3.5,6.3,0.5,28.5,1,2.1,"NE",5.8,"N",NA
"d486a259",5.8,13,1.3,0,1.2,3.1,"SW",6.9,"SW",NA
"7cdfeda7",8.4,13.1,5.7,21.5,0.5,2,"W",4.1,"SW",NA
"38de5d00",8.6,15.3,1.4,11.5,1.2,2.9,"W",8.5,"NW",NA
"8c2d8dcc",12.8,21.7,6,0,1.4,3.1,"SW",7.6,"SW",NA
"7197e71e",13.4,21.1,7.5,0,1.3,3.8,"SW",9.8,"W",NA
"593eb286",11.9,21.2,4.2,0,1.5,3.6,"SW",9.2,"W",NA
"29b6c876",13.2,19.6,6.1,0,1.2,2.4,"SW",5.9,"SW",NA
"7d9a6f89",17.3,26,12.2,0,1.2,2.9,"SW",8.6,"SW",NA
"d5c32077",13.9,16.6,12.4,12,0.7,2.6,"SW",6.5,"W",NA
"6aee08b4",16.2,21.4,13.1,1,0.8,2.3,"SW",5.1,"W",NA
"bee1e69c",14.9,19.6,10.4,7,0.8,2.1,"SW",6.8,"SW",NA
"ff929090",7.1,12.6,-0.6,5.5,0.9,3.4,"NW",11.2,"SE",NA
"5ff1137c",7.9,16.7,-0.9,0,1.2,3.2,"SW",6.7,"SW",NA
"67bb94af",10.9,16.7,6.4,0.5,0.9,2.1,"W",5.3,"SW",NA
"93abdff0",12.7,18.7,9.1,16.5,0.9,1.7,"NE",5.3,"N",NA
"b70f02ff",13.7,20.7,7.1,0,1.1,2.7,"SW",9,"SW",NA
"2bdb4125",15.2,24.7,7,0,1.6,3.3,"SW",7.9,"SW",NA
"fc2c3636",15.2,23.5,8,0,1.4,3.9,"SW",8.1,"SW",NA
"5d803709",14.2,21.7,7.9,12,1.4,3.9,"SW",10,"SW",NA
"1bd0da7f",11.9,19.9,6.1,0,1,2.4,"SW",6,"SW",NA
"2bf8f976",12.7,15.6,10.5,7,0.6,1.6,"SW",4.6,"SW",NA
"4aebb70a",15.6,23.3,9.6,0.5,0.9,2.8,"SW",6.4,"W",NA
"39b80db2",17.3,24.8,12.6,0,0.9,2.7,"SW",7.1,"SW",NA
"295d55b9",16.8,24.8,10.3,0,1.3,3.1,"SW",7.8,"SW",NA
"d9f6669e",15.8,24.7,9.8,0,1.4,2.9,"SW",6.3,"W",NA
"197576b0",17.9,28.2,9.4,0,1.3,2.8,"SW",6.8,"SW",NA
"ce8201a3",19.4,30.4,10.1,0,1.4,2.7,"SW",8.2,"NW",NA
"8da77a9a",21.3,30.7,14.1,0,1.3,2.9,"SW",7.3,"SW",NA
"68de3347",15.5,21,7.9,21.5,0.8,2.1,"SW",4.7,"SW",NA
"07aac6ee",15.3,21.4,12.2,2,0.9,2.2,"SW",5.6,"SW",NA
"76ed3ecd",16.9,25.2,11.2,0,1.2,2.7,"SW",7,"SW",NA
"230e1be1",16.3,22.5,12.5,0,0.8,2.1,"NE",5.3,"NW",NA
"6261c0cb",20.5,27.5,16.2,0,1,2.9,"SW",7,"SW",NA
"143ab6e7",20.8,30.1,14.3,0,1.2,2.8,"SW",6.4,"W",NA
"54864238",16.3,18,15.2,36,1,1.8,"N",5.5,"NE",NA
"c6c50d60",18.6,24.3,15.4,10,0.7,1.7,"W",4.1,"W",NA
"526a5b91",17.3,22.5,15,0.5,1,2.2,"SW",5.3,"SW",NA
"af91095a",15.7,21.2,12.4,19,0.8,1.7,"N",3.6,"NW",NA
"df1973aa",16.6,24.6,11.9,23,1.1,2.6,"SW",7.5,"SW",NA
"b8da9a32",15.1,23.1,11.8,18.5,0.9,2.4,"SW",6.3,"SW",NA
"2fea2845",18.1,26,11,0,1.2,2.5,"SW",6.5,"SW",NA
"bff9e068",18.5,25.3,13,0.5,1,2.6,"SW",6.7,"SW",NA
"328e0e20",15.1,18.2,10.9,45,1.2,2.4,"SW",9.9,"SW",NA
"b592908b",17,25.9,9.5,0,1,2.6,"SW",6.5,"W",NA
"ca8eed0a",17.8,24.9,11.2,0,1.2,2.4,"SW",6.5,"SW",NA
"f094edac",18.9,26.9,12.3,0,1.1,2.5,"SW",6,"SW",NA
"ed94fc6c",18.7,27.2,15,4.5,0.9,2.1,"SW",6.4,"SW",NA
"8d746fae",18.3,25.1,14.6,1.5,1,2.5,"SW",6.2,"SW",NA
"aecc3cae",19.6,28.2,12.7,0,1.3,2.8,"SW",6.9,"SW",NA
"7ac3d286",20.7,28.3,14,0,1.1,2.6,"SW",6.4,"SW",NA
"085feaed",20.1,23.1,17.9,31,0.6,1.7,"SW",5.9,"SW",NA
"443e5417",21.4,26.6,18.7,0,0.7,2,"SW",5.1,"SW",NA
"d67d1b4f",20.5,26.9,18.1,1.5,0.7,1.9,"W",4.3,"SW",NA
"84bd4439",21.2,25,17.6,8.5,0.6,1.5,"NE",4.4,"N",NA
"49009861",21.4,24.5,18.7,0,0.7,1.5,"SW",3.9,"SW",NA
"1ce3bd4d",21.3,27.6,17.9,0,0.9,2.2,"SW",4.7,"SW",NA
"9bff23e6",21.7,28.2,18.6,17,0.6,1.8,"NE",4.5,"SE",NA
"60a9509d",20.5,25.6,17.8,6,0.6,1.9,"SW",4.7,"SW",NA
"5ab3503b",20.5,26.3,17.9,2.5,0.7,2.5,"SW",6,"SW",NA
"6a9b7332",20.2,24.2,17.6,25,0.5,1.7,"SW",3.3,"SW",NA
"6fb420a6",22,25.5,20,11.5,0.5,1.8,"SW",4.3,"SW",NA
"fdf76ffe",21.2,24.9,19.9,30.5,0.5,1.7,"W",4.1,"NW",NA
"97b4c38c",23,30,18.5,0,0.9,2.3,"SW",6.1,"SW",NA
"c257e6a0",20.9,25.4,19.4,69.5,0.4,1.3,"SW",3.3,"NE",NA
"0c02c215",21,23.5,19.6,25,0.3,1.3,"W",3.2,"SW",NA
"d80d2c3d",21.1,24.1,19.7,1,0.9,1.5,"NE",4.6,"NE",NA
"6f253cb9",22.1,26.1,19.2,0,0.6,1.8,"E",3.9,"SE",NA
"a79ce085",21.1,22.9,19.6,37.5,0.4,1.2,"NE",2.6,"SW",NA
"58760d22",23.5,31.3,19.2,0,0.9,2.5,"SW",6.6,"SW",NA
"ebdd960f",24,31.2,19.7,0,0.8,1.9,"SW",5.3,"SW",NA
"b5bab358",23.2,29.8,19.4,1,0.7,1.7,"W",4.4,"SW",NA
"7dd6aca5",22.9,29,20.6,44,1.2,3.2,"W",9.3,"W",NA
"ddb52f49",24.8,31.4,21.1,39,0.7,2.2,"SW",6,"W",NA
"d610e6fd",24.2,31.4,20.9,15,0.9,2.1,"SW",5.3,"SW",NA
"46032ed0",24.6,31.3,20.4,0,0.8,1.6,"SW",4.2,"NE",NA
"b303622d",26,33.4,21.8,0,0.8,2.1,"SW",6.2,"SW",NA
"cc92ae95",26.4,33.9,22.4,0,1,2.2,"SW",5.6,"W",NA
"f688ae33",25.5,32.4,21.1,6,1,2.3,"SW",6.4,"W",NA
"d6c86408",25.8,32.5,21.3,0,1,2.3,"SW",6.1,"SW",NA
"937c5c43",25.1,32.8,20.7,1,0.8,2.2,"SW",5.4,"SW",NA
"7d75fecb",25.5,33,19.9,0,1,2.4,"SW",6.4,"SW",NA
"e6c3ff52",26.9,33.5,22.2,0,0.9,2.3,"SW",5.9,"SW",NA
"7757bcb2",26.7,32.5,21.9,0,0.8,2.2,"SW",5.7,"SW",NA
"ece1bd2b",26.1,32.6,22.1,0,1,2.9,"SW",6.7,"SW",NA
"c03a525c",25.6,30.4,22.2,7.5,2.1,4.4,"SW",14.1,"W",NA
"52791d04",23.9,27.8,22.5,77.5,0.6,2.7,"SW",12,"NE",NA
"383ab176",24.7,31.1,21,0,0.7,1.9,"SW",4.8,"SW",NA
"6dd9945a",25,33,20.4,0,1,2.4,"SW",5.8,"W",NA
"a38cb0ef",24.5,31.2,21.7,43.5,0.6,1.7,"SW",5.1,"SW",NA
"6d98ac43",23,27.3,20.8,14.5,0.6,1.5,"W",3.2,"NE",NA
"4e1f0b16",20.8,28.1,16.1,0,0.8,2,"SW",5.2,"SW",NA
"f717b5bb",20.8,29.1,15.8,0,1.2,2.3,"SW",6.7,"N",NA
"422be7a4",20.2,27.3,16.2,30,0.7,2.1,"SW",5.7,"SW",NA
"be5e0fa5",21.3,23.2,20.2,53,0.4,1.2,"E",3.4,"SW",NA
"16b21254",21.4,27,18.4,2,0.6,1.7,"E",4.9,"SW",NA
"fb6091b4",21.4,28,17.7,0,0.8,1.9,"SW",5.5,"SW",NA
"ae83b498",21.9,28.6,17.3,0,0.9,1.9,"NE",5.3,"SW",NA
"e946c269",22.5,27.6,20,7.5,0.5,1.6,"SW",4.1,"W",NA
"52ac45cd",23.4,31.4,17.5,0,1,2.3,"SW",5.6,"SW",NA
"f30044f2",25,32.5,19.9,0,1.1,2.2,"SW",6,"W",NA
"c91a4454",25.9,32.3,21.8,0,0.8,2,"SW",5.3,"E",NA
"f932675d",20.6,27.1,15.4,0,0.9,2.2,"SW",6.2,"SW",NA
"2843832e",22.7,31,18.1,0,1,2,"SW",5,"SW",NA
"575ffeaf",23.4,31.4,18.4,0,1.2,2.1,"N",5.8,"SW",NA
"17e30a70",23.3,30.6,18.8,0,0.8,2.4,"SW",6.5,"W",NA
"9ffa8fb5",17.7,26.3,11.7,0,1,2.1,"SW",5,"SW",NA
"bc7d28e0",19.4,23.4,16.7,0.5,0.6,2.2,"SW",5.1,"SW",NA
"ac2a3587",19.1,27.4,14.2,0,1,2,"SW",4.1,"W",NA
"39defb5d",18.9,23.1,15.7,0,0.7,1.6,"NE",4.2,"SW",NA
"01947c8e",20.5,27.7,15.5,0,1.1,2.1,"SW",5.8,"SW",NA
"0c5da78e",21.3,28.2,17,0,0.9,2.2,"SW",6.4,"NW",NA
"89557bbe",21.3,28.9,17.8,34.5,0.8,2.3,"SW",5.5,"W",NA
"28f97a81",20.1,25.8,17.3,0,0.6,1.7,"SW",5.6,"SW",NA
"12e37a27",20.2,25.2,15.8,0.5,1.1,2.4,"SW",8.4,"NW",NA
"014cfe7b",17.5,21,15.8,63.5,0.7,2.6,"W",12,"W",NA
"ccfd0ff3",16.4,18.6,13.7,9.5,0.5,1.7,"SW",5.2,"SW",NA
"31476521",13.4,21.6,9.1,0,1.1,2,"E",4.8,"SW",NA
"c05a75d2",16.2,25.5,9.8,0,1.2,2.4,"NE",7.8,"N",NA
"b0d20f22",19.7,24.5,16.5,3,1.1,2,"N",6.1,"N",NA
"e4fea8dd",18.9,19.7,17.1,49.5,1.4,3.1,"E",13.7,"N",NA
"4ca7e723",15.2,17.9,13.1,10,0.9,1.8,"NW",5.6,"NW",NA
"4a8350f9",14.1,21.8,10.4,0,1,2,"SW",5.3,"SW",NA
"ab93a519",13.9,18.6,9.9,0,0.9,2,"N",6,"N",NA
"85153a6f",17.3,23,14.4,0,0.8,2,"SW",5.1,"SW",NA
"f59d409f",14.9,18.3,12.6,18.5,1,1.9,"E",5.1,"N",NA
"77407c47",13.3,17.6,10.5,0,0.7,1.7,"E",4.8,"N",NA
"36330a4b",13,18.9,10.4,0,0.9,2.1,"SW",5.3,"SW",NA
"ae1a0e74",10.7,12.1,8.8,9.5,0.8,1.8,"E",4.5,"NE",NA
"56d39989",11.2,18.3,7.2,0,0.8,1.6,"SW",4.6,"SW",NA
"4e055d8d",10.7,18.2,7.1,0,1,2,"SW",5.5,"SW",NA
"3f42a5ae",10,18.3,5.4,0,1.1,2.2,"NE",5.8,"NW",NA
"6aa18082",10.8,18.4,5.9,0,0.9,1.9,"SW",6.1,"NW",NA
"3bf8b132",8.9,17.2,3.8,0,1.1,2,"SW",5.8,"NE",NA
"ec0fc621",7,16.5,2.4,0,1.1,2,"NE",6.4,"N",NA
"4da3c71e",7.2,17,2,0,1.1,2.2,"NE",6.7,"NW",NA
"9f5c7c99",8,15.6,4.3,0,1.2,2.1,"SW",5.8,"SW",NA
"1993cdc7",7.8,15.5,3.4,0,1.1,2,"SW",5.2,"SW",NA
"9d549324",8.2,11.9,4.6,7,0.6,1.6,"SE",4.7,"SW",NA
"bf91079b",8.5,13,1.5,28,0.8,3.2,"SW",8,"W",NA
"7f2e48d8",6.3,14.6,0.8,0,0.9,2.1,"E",6.1,"E",NA
"add1f35f",11,18.4,5.8,28.5,0.9,2.5,"SW",7,"SW",NA
"2b1e4201",3.2,10.9,-0.5,0,0.8,2.1,"SW",5.6,"W",NA
"afd91ce2",3.7,12.2,-1.2,0,1.1,1.8,"NE",5.9,"E",NA
"0fba9f0e",6.3,9.8,1.3,5.5,1.4,2.4,"NE",7.1,"E",NA
"dab39d12",12.2,18.7,8.4,0,1.2,2.5,"NE",7.1,"NE",NA
"0d44ea01",11.8,18.2,8.3,0,0.9,1.6,"NE",5,"NE",NA
"170e414a",8.9,11.5,7.5,1.5,0.6,1.6,"N",4.3,"N",NA
"a2321355",9.6,12.9,7.8,3.5,0.3,1.1,"E",3.2,"E",NA
"c5f1facd",5.8,8.8,-0.5,0.5,0.8,1.7,"E",5.2,"E",NA
"bf8d0273",1.4,8.6,-3.4,0,0.9,2.6,"SW",5.9,"SW",NA
"3a85de43",4.8,12.7,-0.4,0,0.8,2.1,"SW",5.4,"SW",NA
"a8c6911b",8.1,13.4,4.2,35.5,0.7,1.6,"SW",6.1,"SW",NA
"3c69c7ea",4.2,8.9,-0.7,0,0.8,3.1,"SW",7.7,"SW",NA
"e86629c2",1.7,6.5,-1.7,0,0.6,2.2,"SW",5.5,"SW",NA
"cbde7ac2",1,5.1,-1.6,0,0.6,2.6,"SW",6,"W",NA
"1921c145",1.6,4.9,-2.2,0,0.6,1.5,"E",3.1,"NE",NA
"2418bbb9",1.7,9.8,-3.1,0,0.9,2,"SW",4.9,"SW",NA
"e81b9239",7.3,13.1,4.4,0,0.8,1.6,"E",4.6,"NE",NA
"2a45b45b",1.5,7.8,-2.3,0,0.8,1.9,"SW",4.2,"N",NA
"ba567c76",2.2,8.9,-1.7,0,0.8,1.7,"NE",4.7,"N",NA
"62c2b712",2.2,8.7,-2.6,0,0.8,2,"SW",4.8,"SW",NA
"3721923e",4.3,12.5,-0.2,0,1.2,1.9,"NE",6.5,"NE",NA
"b03d0c95",7.2,9.6,4.6,8,0.8,2.1,"E",7.5,"N",NA
"da961dff",4.8,9,1.8,0,0.6,2.5,"SW",6,"SW",NA
"cddd8e97",2.9,7.3,0.3,11.5,1.1,2,"NE",6.1,"N",NA
"df74e6ff",2.8,9.2,-1,0,0.9,1.7,"E",4.7,"NE",NA
