"date","avg.temp","max.temp","min.temp","precipitation","avg.wind.speed","max.wind.speed","max.wind.speed.dir","max.inst.wind.speed","max.inst.wind.speed.dir","min.atmos.pressure"
"229b70a3",3.7,11.7,-2.6,0,1.5,5.4,"SW",9.4,"S",NA
"3134f4ff",6.6,15.9,-1.6,0,1.5,4.5,"SW",8.2,"SW",NA
"dbfaf910",12.9,21.8,6.2,0,1.5,4.8,"SW",9.2,"SW",NA
"3aea0cf0",12.2,20,5.6,5,2.6,7.7,"SW",16.7,"S",NA
"f0227f56",2.6,7.6,0.2,36.5,0.4,2,"NE",3,"NE",NA
"d486a259",6.9,13.8,3.2,1,1.1,4.4,"SW",6.6,"SW",NA
"7cdfeda7",10.5,16.4,6.5,9,1.2,3.9,"SW",7.5,"S",NA
"38de5d00",10.9,18,3.3,7,1.6,6.7,"E",12.5,"E",NA
"8c2d8dcc",13.8,24.3,5.6,0,1.7,5.1,"SW",9,"SW",NA
"7197e71e",15.2,24,8.6,0,1.5,6,"SW",11.7,"SW",NA
"593eb286",13.5,23.2,5.4,0,1.8,5,"SW",9.3,"SW",NA
"29b6c876",15.3,24.9,6.1,0,1.3,4.6,"SW",8.2,"SW",NA
"7d9a6f89",19.8,28.9,13,0,1.7,5.4,"SW",9.1,"SW",NA
"d5c32077",15.7,18.8,13.6,6.5,1,3,"SW",5.4,"SW",NA
"6aee08b4",18.9,25.6,14.6,1,1.5,4.5,"SW",7.7,"SW",NA
"bee1e69c",16.7,22.1,13.9,1.5,1,3.7,"SW",10.1,"SW",NA
"ff929090",11,15.4,3.2,0,2,5.8,"NE",10.3,"S",NA
"5ff1137c",9.9,18.3,0.8,0,1.8,4.1,"SW",7.4,"SW",NA
"67bb94af",12.5,17.7,8.4,1,1,4.1,"W",7.7,"NW",NA
"93abdff0",13.2,18.4,9.5,19.5,1.1,3.6,"SW",6.8,"SW",NA
"b70f02ff",15.4,23.1,9.9,0,1.4,4.9,"SW",9.3,"SW",NA
"2bdb4125",16.2,26.2,7.8,0,2,6.5,"NE",10.2,"NE",NA
"fc2c3636",16.4,24.5,7.5,0,2,4.9,"SW",9.1,"SW",NA
"5d803709",15.7,22.4,10.5,3.5,1.7,5.2,"SW",10.9,"SW",NA
"1bd0da7f",14.2,21.8,8.1,0,1.3,3.5,"SW",6.2,"SW",NA
"2bf8f976",13.4,15.6,11.9,13.5,0.7,2.8,"W",5.5,"W",NA
"4aebb70a",17.2,24.9,11.5,0,1.7,4.7,"SW",9.1,"SW",NA
"39b80db2",18,25.2,11.8,0,2,6.2,"SW",10.7,"SW",NA
"295d55b9",18.2,26.4,11.4,0,2.1,4.8,"SW",8.9,"SW",NA
"d9f6669e",18.4,26,11.9,0,1.7,4.1,"SW",6.8,"SW",NA
"197576b0",18.6,29.9,9.5,0,1.4,5.1,"SW",9.2,"SW",NA
"ce8201a3",20.8,33.6,9.5,0,1.5,4.7,"SW",8.5,"SW",NA
"8da77a9a",23,33.3,13.7,0,1.6,4.4,"SW",8,"SW",NA
"68de3347",18.1,24.6,12.2,4,1.4,4.5,"SW",9.8,"SW",NA
"07aac6ee",17.1,23.7,14,0,1.3,3.7,"SW",5.9,"SW",NA
"76ed3ecd",18.8,27.9,11.3,0,1.4,3.9,"SW",7.7,"SW",NA
"230e1be1",17.4,22.4,12.1,0,0.9,2.6,"SW",4.2,"SW",NA
"6261c0cb",21.8,29,16.1,0,1.7,4.1,"SW",7.5,"S",NA
"143ab6e7",22.7,32.7,14.4,0,1.9,5,"SW",9.9,"W",NA
"54864238",17.6,20.4,16.4,43,0.9,2.7,"E",5.7,"SE",NA
"c6c50d60",21.1,28.9,17.3,4.5,1.1,3.3,"W",6.4,"W",NA
"526a5b91",18.3,22.4,16.3,1.5,0.9,3.6,"SW",6.6,"SW",NA
"af91095a",17.6,22.4,15.6,20,0.9,3.7,"SW",6.6,"W",NA
"df1973aa",17.8,26.1,14.7,6,1.6,5.5,"SW",9.4,"SW",NA
"b8da9a32",17.8,25.6,14.1,1.5,1.6,5.3,"NE",8.4,"NE",NA
"2fea2845",20,27.9,13.8,0,2.1,4.8,"SW",7.6,"SW",NA
"bff9e068",19.8,27.4,14,0.5,1.8,4.5,"SW",11,"SW",NA
"328e0e20",15.8,18.1,12.3,9.5,0.8,2.5,"NE",3.9,"NE",NA
"b592908b",19,28.7,11.3,0,1.5,4,"SW",6.5,"SW",NA
"ca8eed0a",19.9,27.3,13.2,0,1.3,3.5,"SW",7.1,"SW",NA
"f094edac",21.2,29.4,13.3,0,1.4,4.1,"SW",7.3,"SW",NA
"ed94fc6c",22.2,29.8,16.7,0,1.7,5,"SW",9.5,"SW",NA
"8d746fae",19.6,25.8,16.6,19.5,0.9,3.1,"SW",4.8,"SW",NA
"aecc3cae",21.2,29.6,14,0,1.8,4.6,"SW",8.2,"SW",NA
"7ac3d286",22.9,30.4,15.4,0,1.7,4.1,"SW",7.4,"SW",NA
"085feaed",21.7,24.8,19.9,37,0.9,2.5,"NE",4,"SW",NA
"443e5417",21.9,25,19.4,2.5,0.8,2.3,"NE",3.4,"NE",NA
"d67d1b4f",21.7,27.4,18.4,0,1.1,2.9,"SW",4.5,"SW",NA
"84bd4439",22.6,27.7,18.3,6,1.3,3.5,"SW",6.5,"SW",NA
"49009861",21.9,26.9,17.8,8,1.2,3.3,"SW",5.4,"SW",NA
"1ce3bd4d",21.9,29.1,18.6,3.5,1,2.9,"SW",5.3,"SW",NA
"9bff23e6",22.5,27.9,19.2,3.5,1,3.5,"SW",5.9,"SW",NA
"60a9509d",21.6,26.4,19.6,4.5,1.2,4.2,"SW",7.6,"SW",NA
"5ab3503b",21.8,27.5,19.1,0,1.5,3.9,"SW",6.7,"SW",NA
"6a9b7332",21.1,25,18.4,24,0.7,1.7,"SW",3.2,"SW",NA
"6fb420a6",22.7,26.3,20.4,37,0.9,3.3,"SW",5.4,"SW",NA
"fdf76ffe",22,25.8,20.2,21,1,3.4,"SW",6,"SW",NA
"97b4c38c",24.4,31.8,19.3,0,1.6,4.6,"SW",8.2,"SW",NA
"c257e6a0",22.2,26.6,19.5,38,1,2.6,"SW",3.8,"SW",NA
"0c02c215",22.3,28.3,19.7,12,0.9,2.6,"SW",4.7,"SW",NA
"d80d2c3d",22.2,25.2,19.9,1,0.9,2.1,"NE",3.4,"SW",NA
"6f253cb9",23.4,28.5,18.9,0,0.9,2.7,"SW",5.2,"SW",NA
"a79ce085",22.5,26.4,20.5,25,0.8,2.2,"NE",3.4,"SW",NA
"58760d22",25.2,33.8,19.8,0.5,1.4,3.9,"SW",6.7,"SW",NA
"ebdd960f",26.1,33.4,20.9,0,1.6,4.4,"SW",7.4,"SW",NA
"b5bab358",25,30.8,20.6,12,1.4,4,"SW",7.2,"SW",NA
"7dd6aca5",23.2,27,20.7,27.5,1,5.1,"NW",11.1,"NW",NA
"ddb52f49",26.2,34.1,21.1,0,1.2,3.3,"SW",6,"SW",NA
"d610e6fd",26.7,34.8,22,1,1.4,4.2,"NE",8.5,"E",NA
"46032ed0",26.9,35.6,21.4,0,1.5,4.5,"SW",7.4,"SW",NA
"b303622d",28,36.7,21.9,0,1.2,3,"SW",5.1,"SW",NA
"cc92ae95",26.5,35.9,21.7,47,1.5,4.3,"SW",9,"NW",NA
"f688ae33",26.6,34.1,22.1,1.5,1.3,3,"SE",5.9,"SW",NA
"d6c86408",27.6,34.7,22,0,1.7,4.4,"SW",7,"SW",NA
"937c5c43",27.3,35.6,23,0,1.7,5.2,"NE",9.4,"NE",NA
"7d75fecb",27.3,36.3,21.1,0,1.7,4.3,"SE",8,"SE",NA
"e6c3ff52",29.2,36.8,23.5,0,1.8,4.7,"SW",7.6,"SW",NA
"7757bcb2",27.8,35,21.6,0,1.6,4.2,"SW",6.9,"SW",NA
"ece1bd2b",26.3,32.9,23.1,3,1.3,4.6,"SW",7.5,"SW",NA
"c03a525c",25,29.6,22.8,30.5,2,7.4,"W",18.8,"W",NA
"52791d04",25.2,30,23.1,45,1.8,6.7,"NW",13.7,"NW",NA
"383ab176",26.3,34.1,21.6,0,1.1,3.2,"NE",4.6,"W",NA
"6dd9945a",26.5,33.9,21.9,11.5,1.5,4.2,"SW",7.7,"SW",NA
"a38cb0ef",26.1,32.5,23,19,1.4,4.2,"SW",8.2,"SW",NA
"6d98ac43",24.6,30,21.5,10,0.9,2.3,"SW",3.4,"W",NA
"4e1f0b16",23.7,31.4,18.5,0,1.2,3.1,"SW",5.6,"SW",NA
"f717b5bb",23.5,32.1,17.4,0,1.6,4.5,"SW",8.4,"SW",NA
"422be7a4",21.9,28.5,16.8,13.5,1,3.9,"SW",6.1,"SW",NA
"be5e0fa5",22.4,25.9,20.9,14,1,2.4,"NE",4.9,"SW",NA
"16b21254",23.4,30.7,20.8,0.5,0.9,2.5,"NE",4.3,"SW",NA
"fb6091b4",24,33.3,19.8,0,1.1,3.2,"SW",5.4,"SW",NA
"ae83b498",24.2,32.3,19.1,0,1,3.3,"SW",5.1,"SW",NA
"e946c269",23.4,28.9,20.8,0.5,1,3.1,"SW",6.2,"SW",NA
"52ac45cd",25,33.9,17.8,0,1.5,4.2,"SW",7.3,"SW",NA
"f30044f2",25.8,34.6,19.8,2,1.3,3.6,"SW",6.2,"SW",NA
"c91a4454",26.8,34.4,22.9,4.5,1,3.3,"SW",5.7,"SW",NA
"f932675d",23,30.6,18.5,0,1.5,4.2,"SW",7.1,"SW",NA
"2843832e",24.4,32.6,19,0,1.2,3.9,"SW",6.2,"SW",NA
"575ffeaf",25.3,34.8,19.9,0,1.4,4,"SW",6.6,"SW",NA
"17e30a70",26,33,21.9,0,1.6,4.1,"SW",6.7,"SW",NA
"9ffa8fb5",20,28.4,14.4,1,1.5,4.1,"W",6.7,"SW",NA
"bc7d28e0",20.9,25.2,17.8,0,0.8,3.2,"SW",5.4,"SW",NA
"ac2a3587",20.9,28.2,16.6,0,1.5,3.5,"NW",6.1,"SW",NA
"39defb5d",20.4,25.3,17.4,0,1,2.8,"SW",5.1,"SW",NA
"01947c8e",21.3,29.3,15.9,0,1,3.2,"SW",5.5,"SW",NA
"0c5da78e",23.1,31.3,18.1,0,1.4,4.3,"SW",7.4,"SW",NA
"89557bbe",23.3,30.9,18.6,0,1.8,4.6,"SW",8.3,"SW",NA
"28f97a81",22.2,28.5,18.3,0,1.3,3.7,"SW",6,"SW",NA
"12e37a27",22.3,27.5,18.3,0,2.1,6,"W",12.6,"W",NA
"014cfe7b",19.9,25.8,16.3,19,1.3,4.6,"SW",9.2,"NW",NA
"ccfd0ff3",17.9,21,14.9,1,0.8,1.8,"NE",3.4,"NE",NA
"31476521",17.3,24.6,11.6,0,1.2,3.6,"SW",5.9,"SW",NA
"c05a75d2",17.9,26.8,11.9,0,1.2,3.2,"SW",5.8,"SW",NA
"b0d20f22",19.4,22.5,16.3,3.5,0.9,2,"SE",3.8,"NW",NA
"e4fea8dd",19.3,23.1,18.4,134,1.3,5.8,"E",13.9,"E",NA
"4ca7e723",16.4,20.3,14.4,1,1,3.3,"SW",6.4,"SW",NA
"4a8350f9",17.1,23.8,13.9,0,1.1,3.4,"SW",6.3,"SW",NA
