"date","avg.temp","max.temp","min.temp","precipitation","avg.wind.speed","max.wind.speed","max.wind.speed.dir","max.inst.wind.speed","max.inst.wind.speed.dir","min.atmos.pressure"
"229b70a3",-0.6,5.2,-5.9,0,1.5,3.8,"NW",9.8,"W",NA
"3134f4ff",1.3,9.6,-6.1,0,1.5,5.4,"NW",11.6,"NW",NA
"dbfaf910",8.6,15.4,2.2,0,1.9,4.2,"NW",10.7,"NW",NA
"3aea0cf0",7.6,15.6,2.4,3,1.9,5.6,"NW",14.2,"NW",NA
"f0227f56",0.9,3.4,0,41.5,0.2,1.3,"SE",2.9,"SE",NA
"d486a259",2.6,8.7,-1.4,0.5,0.5,1.9,"NW",4.3,"NW",NA
"7cdfeda7",6.1,9.9,2.4,31.5,0.5,2.7,"N",8.1,"N",NA
"38de5d00",6.3,11.5,-1.5,14,1.9,4.6,"NW",12.2,"NW",NA
"8c2d8dcc",9.8,19.5,1.9,0,1.1,2.8,"SW",8.1,"SW",NA
"7197e71e",10.1,17.6,3.7,0,1.4,4.2,"NW",10,"NW",NA
"593eb286",8.6,19.4,-0.3,0,1.1,4.1,"S",9.8,"SW",NA
"29b6c876",11.2,19.4,1.7,0,1,3.5,"SW",8.2,"S",NA
"7d9a6f89",15,23.8,8.1,0,1.1,3,"NW",7.5,"NW",NA
"d5c32077",12.3,14.9,10.1,21.5,0.5,2.1,"SE",6.4,"S",NA
"6aee08b4",15,20.7,10.8,0.5,0.6,2.1,"SW",5.4,"SW",NA
"bee1e69c",12.7,17.7,9.2,4,1.1,3.3,"NW",8.3,"NW",NA
"ff929090",5.7,11.2,-1.6,1.5,1.7,5.3,"NW",12.4,"NW",NA
"5ff1137c",5.9,15.2,-3.4,0,0.8,2.6,"S",7,"W",NA
"67bb94af",8.7,12.8,4.7,6,0.5,2.3,"NW",5.2,"NW",NA
"93abdff0",10.5,15.4,6.2,29,0.4,1.2,"E",5.4,"NE",NA
"b70f02ff",10.5,17.4,4.3,0,1.4,3.7,"NW",10.4,"SW",NA
"2bdb4125",11.6,21.9,3.3,0,1.1,2.6,"S",8.9,"SE",NA
"fc2c3636",12.3,20,3.9,0,1,2.7,"NW",7.1,"NW",NA
"5d803709",11.1,17.9,6,7.5,0.9,2.9,"SW",7.8,"NW",NA
"1bd0da7f",9.8,18,3.4,0,0.9,3,"SW",7.2,"NW",NA
"2bf8f976",10.6,13,9.1,15,0.2,1,"NW",2,"N",NA
"4aebb70a",13,19.9,7.8,0,0.6,2.8,"S",6.4,"SW",NA
"39b80db2",13.5,20.9,8.1,0,0.7,2.2,"SE",6,"S",NA
"295d55b9",13.1,22.3,6.6,0,0.7,2.3,"S",6,"SW",NA
"d9f6669e",13,22,6.3,0,1,3.7,"S",8.9,"S",NA
"197576b0",14.9,25.2,5.7,0,1.2,3.6,"NW",8.9,"W",NA
"ce8201a3",17,28.9,6.3,0,1,2.5,"SW",6.6,"S",NA
"8da77a9a",18.8,28.5,10.7,0,1,2.9,"NW",8,"NW",NA
"68de3347",14,19.3,5.3,4.5,1,3.2,"NW",8,"W",NA
"07aac6ee",13.1,19.1,9.2,2.5,0.6,2,"S",5.5,"SW",NA
"76ed3ecd",14.3,22,8.3,0,0.9,2.6,"S",6.5,"SE",NA
"230e1be1",13.8,18.5,8.5,0,0.5,1.2,"NW",3.4,"SW",NA
"6261c0cb",16.6,25,9.9,0,0.7,2.6,"SW",5.8,"S",NA
"143ab6e7",18.2,27.4,10,0,1,2.8,"NW",7,"W",NA
"54864238",14.7,17.3,12.3,64.5,0.5,1.6,"S",3.6,"SW",NA
"c6c50d60",17.7,23.4,13.9,4.5,0.7,2.9,"NW",7.2,"NW",NA
"526a5b91",15.3,19.7,13,0.5,0.4,1.7,"S",2.6,"NW",NA
"af91095a",14.1,18.7,10.1,19.5,0.4,1.8,"S",4.4,"S",NA
"df1973aa",13.9,21.3,7.8,23.5,0.6,2,"S",5.7,"SW",NA
"b8da9a32",13.1,20.6,8.2,4.5,0.6,2.8,"S",7.4,"S",NA
"2fea2845",15.1,23.6,8,0,0.8,2.5,"SW",6.6,"SW",NA
"bff9e068",15.5,23.8,9.2,2,0.6,2.2,"S",6,"S",NA
"328e0e20",14.2,18.5,9.4,15.5,2.1,4.6,"NW",15.8,"NW",NA
"b592908b",15.7,23.7,9.2,0,1,2.6,"S",7.8,"W",NA
"ca8eed0a",14.9,22.4,8.4,0,0.9,2.5,"NW",6.7,"SW",NA
"f094edac",16.4,24.1,9.3,0,0.9,2.2,"S",6.7,"W",NA
"ed94fc6c",17.2,24.1,11.8,0,0.6,1.6,"NW",5.5,"SE",NA
"8d746fae",15.8,21.4,10.9,9.5,0.4,2.3,"SE",6.8,"S",NA
"aecc3cae",16.2,24.8,9.2,0,0.8,3.2,"S",7.1,"SE",NA
"7ac3d286",17.4,25.4,10.3,0,0.9,2.3,"S",5.7,"SW",NA
"085feaed",18.6,21.2,16,64.5,0.6,2.8,"N",6.8,"NW",NA
"443e5417",18.8,22.9,14.7,1.5,0.5,2,"SW",3.4,"S",NA
"d67d1b4f",18.2,23.1,15,1,0.3,1.2,"S",3.6,"SW",NA
"84bd4439",18.8,22.5,14.6,13,0.4,1.6,"S",3.9,"NW",NA
"49009861",18.5,22.3,14.6,0.5,0.4,1.3,"SW",2.5,"S",NA
"1ce3bd4d",18.8,25,15.7,2.5,0.4,2.2,"S",3.2,"S",NA
"9bff23e6",18.8,24.8,15.9,15,0.5,2.7,"S",4.9,"SE",NA
"60a9509d",18.5,24.2,15.7,1,0.5,2.6,"S",6,"SW",NA
"5ab3503b",18.1,23.9,15.9,0.5,0.5,2.5,"S",5.8,"S",NA
"6a9b7332",18.2,21.6,15.6,24.5,0.2,1.3,"S",3.7,"NW",NA
"6fb420a6",19.4,22.1,17.5,24,0.3,1.2,"S",2.3,"SW",NA
"fdf76ffe",19.4,23.4,16.5,8.5,0.4,1.7,"NW",3.5,"NW",NA
"97b4c38c",19.7,27.1,15.3,0,0.6,2.8,"S",7.7,"SE",NA
"c257e6a0",18.6,23.2,15.1,55.5,0.5,2.7,"NE",7.5,"N",NA
"0c02c215",19.3,24,16.9,15,0.5,2.5,"NW",6,"NW",NA
"d80d2c3d",19.2,22.2,16.4,1.5,0.3,1.3,"NW",2.7,"NW",NA
"6f253cb9",19.8,24.7,15.9,0,0.6,1.9,"NW",4.1,"NW",NA
"a79ce085",19.2,21.9,16.7,24.5,0.3,1.3,"S",4.5,"SE",NA
"58760d22",21.3,29.1,16.3,0,0.6,2.3,"S",5.9,"SW",NA
"ebdd960f",21,27.4,15.7,0,0.6,1.7,"SW",4.3,"SE",NA
"b5bab358",21.1,28,16.4,8.5,0.5,1.5,"S",3.7,"SW",NA
"7dd6aca5",20.2,22.3,18.8,101,0.7,2.3,"NE",8.6,"E",NA
"ddb52f49",22.5,29.2,17.9,0.5,0.6,2.5,"S",5.6,"S",NA
"d610e6fd",22.8,29.2,17.5,2,0.7,2.5,"S",6.2,"S",NA
"46032ed0",22.8,30.1,17.5,0,0.6,2.2,"N",5.8,"N",NA
"b303622d",23.2,31.1,17.4,0,0.7,2.2,"S",5.2,"SW",NA
"cc92ae95",23.4,31,18.2,0,0.5,2.5,"NW",6.5,"SW",NA
"f688ae33",23.7,30.6,18.8,4,0.7,3.1,"SW",5.9,"SW",NA
"d6c86408",23.8,30.3,20.1,0,0.5,2.1,"SW",5.5,"S",NA
"937c5c43",23.5,31.2,18,0,0.6,2.5,"N",5.5,"SW",NA
"7d75fecb",23.2,31.3,16.8,0,0.8,2.4,"NW",5.6,"S",NA
"e6c3ff52",23.6,31.3,17.8,0,0.8,2.5,"SW",5.9,"S",NA
"7757bcb2",23.6,30.3,18.1,0,0.6,2.2,"SW",4.8,"SW",NA
"ece1bd2b",22.7,28.1,18.8,3.5,0.7,2.2,"S",5.2,"S",NA
"c03a525c",21.9,25.2,20.5,61,1.2,2.8,"S",9.7,"S",NA
"52791d04",22.1,26.6,19.5,62.5,1.1,3.3,"SE",11,"S",NA
"383ab176",22.7,30.1,17.6,0,0.6,1.8,"NW",4.3,"NW",NA
"6dd9945a",22.6,30,17.8,0,0.6,2,"S",5,"S",NA
"a38cb0ef",22.3,28.9,18.9,1.5,0.7,2,"N",4.9,"N",NA
"6d98ac43",21.4,25.8,17.6,1.5,0.5,2,"S",5.8,"SE",NA
"4e1f0b16",19.4,26.2,14.1,0.5,0.8,2.7,"NW",6.9,"NW",NA
"f717b5bb",18.2,26.7,13,0,0.8,2.2,"S",5.9,"S",NA
"422be7a4",18.1,25.1,12,28,0.7,2.9,"N",7.5,"NW",NA
"be5e0fa5",19.4,24.5,17.1,22.5,0.6,2.9,"N",8.9,"SW",NA
"16b21254",19.7,25.7,16.2,1.5,0.5,1.9,"S",4.8,"SW",NA
"fb6091b4",19.6,26.6,15.4,0,0.6,2.4,"SW",6,"SW",NA
